Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000001	Kringle	interpro	domain		cd00108,PS50070,PF00051,SM00130	
IPR000003	Retinoid X receptor/HNF4	interpro	family		PR00545	GO:0003677,GO:0003707,GO:0008270,GO:0006355,GO:0005634
IPR000006	Metallothionein, vertebrate	interpro	family		PTHR23299,PF00131,PR00860	GO:0046872
IPR000007	Tubby, C-terminal	interpro	domain		PR01573,PF01167	
IPR000008	C2 domain	interpro	domain		PS50004,SM00239,PF00168,PR00360	
IPR000009	Protein phosphatase 2A regulatory subunit PR55	interpro	family		PTHR11871,PIRSF037309,PR00600	GO:0019888,GO:0000159
IPR000010	Cystatin domain	interpro	domain		cd00042,PF16845,PF00031,SM00043	GO:0004869
IPR000011	Ubiquitin/SUMO-activating enzyme E1-like	interpro	family		PR01849	GO:0008641,GO:0036211
IPR000012	Retroviral VpR/VpX protein	interpro	family		MF_04080,PR00444,PF00522	GO:0019058,GO:0042025
IPR000013	Peptidase M7, snapalysin	interpro	family		NF033628,PF02031,PIRSF016573,PR00787	GO:0004222,GO:0008270,GO:0006508,GO:0005576
IPR000014	PAS domain	interpro	domain		TIGR00229,PF13188,PF13426,cd00130,PS50112,SM00091	
IPR000015	Outer membrane usher protein	interpro	family		PTHR30451,PF00577	GO:0015473,GO:0009297,GO:0016020
IPR000018	P2Y purinoceptor 4	interpro	family		PR01066	GO:0045028,GO:0007186,GO:0030321,GO:0016020
IPR000020	Anaphylatoxin/fibulin	interpro	domain		cd00017,PS01178,PS01177,PF01821,SM00104	GO:0005576
IPR000021	Hok/gef cell toxic protein	interpro	family		PR00281,PF01848	GO:0016020
IPR000023	Phosphofructokinase domain	interpro	domain		PF00365	GO:0003872,GO:0006096
IPR000025	Melatonin receptor family	interpro	family		PR00857	GO:0008502,GO:0007186,GO:0016020
IPR000026	Guanine-specific ribonuclease N1-like	interpro	family		PF00545	GO:0003723,GO:0004521
IPR000028	Chloroperoxidase	interpro	domain		PS51405,PF01328	GO:0004601
IPR000030	PPE domain	interpro	domain		PF00823	
IPR000031	PurE domain	interpro	domain		SM01001,PF00731,TIGR01162	GO:0006189
IPR000032	Phosphocarrier protein HPr-like	interpro	domain		cd00367,PS51350,PF00381,TIGR01003,PR00107	
IPR000033	LDLR class B repeat	interpro	repeat		PS51120,PF00058,SM00135	
IPR000034	Laminin IV	interpro	domain		PS51115,PF00052,SM00281	
IPR000035	Alkylbase DNA glycosidase, conserved site	interpro	conserved_site		PS00516	GO:0003905,GO:0006281
IPR000036	Peptidase A26, omptin	interpro	family		PF01278,PIRSF001522,PR00482	GO:0004175,GO:0006508,GO:0009279
IPR000037	SsrA-binding protein	interpro	family		cd09294,PTHR30308,MF_00023,TIGR00086,PF01668	GO:0003723
IPR000039	Large ribosomal subunit protein eL18	interpro	family		PTHR10934	GO:0003735,GO:0006412,GO:0005840
